1	4
7	2
8	4
9	4
12	4
13	2
21	3
22	3
47	3
50	4
64	4
71	4
79	3
89	4
111	2
127	5
132	5
137	5
153	4
165	5
166	4
168	4
169	4
170	4
173	5
174	4
177	4
178	4
182	4
185	5
186	4
191	4
192	4
194	4
200	3
202	3
203	3
216	5
223	4
237	2
242	4
246	3
257	2
259	1
261	3
268	3
272	4
274	4
285	3
293	3
298	3
302	4
303	3
306	4
308	3
309	2
310	2
317	3
321	3
340	2
367	2
405	1
408	4
410	4
419	4
425	3
427	4
435	4
460	2
461	4
462	5
464	2
465	1
468	3
472	1
473	2
474	5
482	4
485	5
489	5
490	5
491	4
493	5
494	4
495	4
496	4
497	4
501	5
502	4
503	3
504	3
505	4
507	4
510	4
512	4
514	5
516	4
519	5
520	4
522	5
527	4
529	4
530	4
531	4
533	4
535	2
536	4
537	4
538	2
539	2
