1	3
4	5
5	1
7	2
8	4
9	3
12	5
13	5
17	1
22	4
23	5
28	5
32	4
33	5
37	1
38	3
39	3
49	4
50	5
51	3
53	1
58	4
60	4
62	5
67	1
68	3
69	4
70	3
78	1
79	3
82	2
83	2
86	1
87	5
89	4
91	2
92	3
95	5
96	4
99	4
110	3
111	5
116	5
117	3
127	5
128	1
132	4
135	5
138	1
141	2
143	1
145	2
152	5
155	2
157	3
158	1
160	4
163	3
164	3
165	3
166	5
170	5
172	5
174	4
175	4
176	3
177	5
179	2
182	5
183	4
184	1
187	5
188	4
191	3
193	5
194	5
197	4
199	5
200	3
202	5
204	5
205	2
209	3
211	4
216	3
218	1
222	3
223	5
224	4
225	2
227	5
228	4
231	3
233	4
234	5
235	2
237	5
239	4
241	3
242	2
260	1
262	4
264	4
274	3
275	3
279	5
280	4
285	5
286	3
288	1
292	5
299	3
306	3
307	2
310	4
311	3
313	4
316	5
321	2
322	3
323	3
326	3
327	3
328	3
329	2
332	3
336	2
339	3
342	4
346	4
347	5
348	2
350	2
355	3
357	3
358	3
362	4
367	3
370	1
371	3
382	1
393	3
394	2
398	2
400	4
401	1
403	2
404	5
406	1
410	1
411	2
413	1
417	2
419	3
424	1
427	5
429	5
430	5
432	4
433	4
435	5
438	1
439	1
441	1
442	1
444	4
445	4
446	1
448	1
453	2
455	3
462	5
463	5
471	1
473	4
474	4
475	3
478	4
484	5
485	1
491	4
492	5
494	4
497	5
504	5
506	5
507	1
510	5
511	5
515	2
518	4
522	5
523	4
525	5
527	5
529	4
531	3
538	1
541	1
547	1
549	4
550	4
551	1
553	2
554	2
558	1
559	1
561	1
563	1
565	1
566	5
568	3
569	2
572	2
573	3
576	3
578	3
585	4
586	3
590	2
602	4
603	4
606	4
613	4
619	3
621	4
629	1
630	2
631	3
635	1
636	2
637	2
638	3
639	3
646	4
647	5
650	2
654	5
655	5
656	5
657	4
661	5
662	5
663	5
667	1
668	1
669	1
670	3
671	3
672	1
674	3
675	5
679	4
684	5
686	5
687	1
688	1
689	2
690	3
691	4
692	4
706	1
709	4
712	4
722	3
732	5
733	5
736	4
737	4
739	4
740	1
746	3
747	4
748	4
749	3
750	5
751	5
754	4
756	2
757	3
758	1
760	1
761	4
762	5
763	1
765	2
767	1
768	4
769	3
770	4
771	3
773	1
774	1
775	4
777	1
778	3
779	3
785	3
789	5
790	2
791	5
792	5
793	5
795	2
796	3
797	5
798	2
799	4
800	1
801	3
803	3
804	2
806	5
810	5
811	5
813	1
815	4
817	1
818	3
819	1
822	3
824	3
825	1
826	5
827	3
829	3
832	4
833	2
834	1
835	3
837	4
838	1
841	1
843	5
845	3
846	2
849	1
850	4
851	5
853	1
855	4
862	3
863	4
865	5
867	5
870	3
871	2
872	3
873	1
879	2
880	3
881	2
882	3
883	3
884	2
886	5
889	3
891	1
893	3
895	1
896	5
897	1
899	1
900	5
902	3
903	3
904	1
905	2
909	5
911	2
914	2
916	4
917	4
