8	4
11	2
15	5
24	3
25	3
28	5
29	3
39	3
42	3
52	3
54	3
56	4
57	2
58	3
69	3
70	4
79	4
83	5
86	4
88	3
98	2
107	4
121	3
123	3
125	4
168	3
173	5
176	3
180	2
196	5
208	4
211	3
213	4
222	3
228	3
229	4
237	4
238	3
239	4
258	5
259	3
274	3
286	5
290	3
301	4
317	4
318	5
324	1
332	5
356	4
357	5
365	3
367	3
370	3
372	4
382	3
386	3
393	4
399	3
401	3
405	3
414	3
423	5
427	4
430	3
431	2
433	4
434	4
449	3
451	2
504	3
508	4
526	3
527	4
544	4
549	4
577	3
580	5
603	4
646	3
654	3
659	5
662	3
690	4
692	4
699	4
707	5
715	3
716	3
717	2
718	5
719	3
724	3
727	3
728	3
729	4
731	4
737	4
738	3
742	3
745	5
747	3
748	1
749	5
750	5
