Iteração: 13999 Padrão: Toy Story (1995) Neurônio: 27;26
Iteração: 13999 Padrão: Get Shorty (1995) Neurônio: 17;26
Iteração: 13999 Padrão: Copycat (1995) Neurônio: 10;13
Iteração: 13999 Padrão: Twelve Monkeys (1995) Neurônio: 26;23
Iteração: 13999 Padrão: Babe (1995) Neurônio: 19;23
Iteração: 13999 Padrão: Dead Man Walking (1995) Neurônio: 27;21
Iteração: 13999 Padrão: Usual Suspects, The (1995) Neurônio: 23;21
Iteração: 13999 Padrão: Mighty Aphrodite (1995) Neurônio: 16;19
Iteração: 13999 Padrão: From Dusk Till Dawn (1996) Neurônio: 8;26
Iteração: 13999 Padrão: Braveheart (1995) Neurônio: 21;27
Iteração: 13999 Padrão: Taxi Driver (1976) Neurônio: 23;16
Iteração: 13999 Padrão: Apollo 13 (1995) Neurônio: 21;26
Iteração: 13999 Padrão: Crumb (1994) Neurônio: 10;11
Iteração: 13999 Padrão: Desperado (1995) Neurônio: 8;24
Iteração: 13999 Padrão: Nadja (1994) Neurônio: 5;1
Iteração: 13999 Padrão: Net, The (1995) Neurônio: 25;4
Iteração: 13999 Padrão: Strange Days (1995) Neurônio: 7;22
Iteração: 13999 Padrão: I.Q. (1994) Neurônio: 6;15
Iteração: 13999 Padrão: Star Wars (1977) Neurônio: 27;27
Iteração: 13999 Padrão: Legends of the Fall (1994) Neurônio: 12;9
Iteração: 13999 Padrão: Natural Born Killers (1994) Neurônio: 12;24
Iteração: 13999 Padrão: Quiz Show (1994) Neurônio: 23;14
Iteração: 13999 Padrão: Three Colors: Blue (1993) Neurônio: 12;9
Iteração: 13999 Padrão: Stargate (1994) Neurônio: 10;27
Iteração: 13999 Padrão: Ace Ventura: Pet Detective (1994) Neurônio: 8;17
Iteração: 13999 Padrão: Crow, The (1994) Neurônio: 12;24
Iteração: 13999 Padrão: Forrest Gump (1994) Neurônio: 24;23
Iteração: 13999 Padrão: Four Weddings and a Funeral (1994) Neurônio: 21;22
Iteração: 13999 Padrão: Free Willy (1993) Neurônio: 0;23
Iteração: 13999 Padrão: Fugitive, The (1993) Neurônio: 23;27
Iteração: 13999 Padrão: Jurassic Park (1993) Neurônio: 20;25
Iteração: 13999 Padrão: Much Ado About Nothing (1993) Neurônio: 17;20
Iteração: 13999 Padrão: Remains of the Day, The (1993) Neurônio: 20;14
Iteração: 13999 Padrão: Searching for Bobby Fischer (1993) Neurônio: 19;12
Iteração: 13999 Padrão: Blade Runner (1982) Neurônio: 27;19
Iteração: 13999 Padrão: Nightmare Before Christmas, The (1993) Neurônio: 14;21
Iteração: 13999 Padrão: True Romance (1993) Neurônio: 9;25
Iteração: 13999 Padrão: Aladdin (1992) Neurônio: 19;24
Iteração: 13999 Padrão: Terminator 2: Judgment Day (1991) Neurônio: 22;27
Iteração: 13999 Padrão: Snow White and the Seven Dwarfs (1937) Neurônio: 16;23
Iteração: 13999 Padrão: Operation Dumbo Drop (1995) Neurônio: 2;25
Iteração: 13999 Padrão: Truth About Cats & Dogs, The (1996) Neurônio: 23;23
Iteração: 13999 Padrão: Cold Comfort Farm (1995) Neurônio: 12;19
Iteração: 13999 Padrão: Rock, The (1996) Neurônio: 25;27
Iteração: 13999 Padrão: Godfather, The (1972) Neurônio: 26;26
Iteração: 13999 Padrão: Supercop (1992) Neurônio: 6;24
Iteração: 13999 Padrão: Wizard of Oz, The (1939) Neurônio: 20;25
Iteração: 13999 Padrão: 2001: A Space Odyssey (1968) Neurônio: 25;19
Iteração: 13999 Padrão: D3: The Mighty Ducks (1996) Neurônio: 0;6
Iteração: 13999 Padrão: 20,000 Leagues Under the Sea (1954) Neurônio: 6;20
Iteração: 13999 Padrão: Sound of Music, The (1965) Neurônio: 27;12
Iteração: 13999 Padrão: Lawnmower Man, The (1992) Neurônio: 6;24
Iteração: 13999 Padrão: Sleeper (1973) Neurônio: 6;14
Iteração: 13999 Padrão: Dirty Dancing (1987) Neurônio: 22;6
Iteração: 13999 Padrão: Platoon (1986) Neurônio: 17;13
Iteração: 13999 Padrão: Weekend at Bernie's (1989) Neurônio: 1;16
Iteração: 13999 Padrão: Glengarry Glen Ross (1992) Neurônio: 10;6
Iteração: 13999 Padrão: Return of the Pink Panther, The (1974) Neurônio: 7;17
Iteração: 13999 Padrão: Abyss, The (1989) Neurônio: 12;27
Iteração: 13999 Padrão: Jean de Florette (1986) Neurônio: 11;8
Iteração: 13999 Padrão: Manon of the Spring (Manon des sources) (1986) Neurônio: 13;6
Iteração: 13999 Padrão: Cinema Paradiso (1988) Neurônio: 12;19
Iteração: 13999 Padrão: Empire Strikes Back, The (1980) Neurônio: 24;27
Iteração: 13999 Padrão: Raiders of the Lost Ark (1981) Neurônio: 26;26
Iteração: 13999 Padrão: Brazil (1985) Neurônio: 26;6
Iteração: 13999 Padrão: Aliens (1986) Neurônio: 21;27
Iteração: 13999 Padrão: Good, The Bad and The Ugly, The (1966) Neurônio: 12;27
Iteração: 13999 Padrão: Clockwork Orange, A (1971) Neurônio: 27;7
Iteração: 13999 Padrão: GoodFellas (1990) Neurônio: 21;19
Iteração: 13999 Padrão: Alien (1979) Neurônio: 21;26
Iteração: 13999 Padrão: Army of Darkness (1993) Neurônio: 10;23
Iteração: 13999 Padrão: Godfather: Part II, The (1974) Neurônio: 18;26
Iteração: 13999 Padrão: Full Metal Jacket (1987) Neurônio: 14;26
Iteração: 13999 Padrão: Amadeus (1984) Neurônio: 25;21
Iteração: 13999 Padrão: Right Stuff, The (1983) Neurônio: 21;14
Iteração: 13999 Padrão: Sting, The (1973) Neurônio: 21;21
Iteração: 13999 Padrão: Graduate, The (1967) Neurônio: 25;18
Iteração: 13999 Padrão: Bridge on the River Kwai, The (1957) Neurônio: 22;14
Iteração: 13999 Padrão: Shining, The (1980) Neurônio: 27;14
Iteração: 13999 Padrão: Groundhog Day (1993) Neurônio: 22;23
Iteração: 13999 Padrão: Back to the Future (1985) Neurônio: 24;24
Iteração: 13999 Padrão: Patton (1970) Neurônio: 20;13
Iteração: 13999 Padrão: This Is Spinal Tap (1984) Neurônio: 18;21
Iteração: 13999 Padrão: M*A*S*H (1970) Neurônio: 20;21
Iteração: 13999 Padrão: When Harry Met Sally... (1989) Neurônio: 22;23
Iteração: 13999 Padrão: Cape Fear (1991) Neurônio: 27;4
Iteração: 13999 Padrão: Star Trek: First Contact (1996) Neurônio: 24;27
Iteração: 13999 Padrão: Sling Blade (1996) Neurônio: 20;12
Iteração: 13999 Padrão: Ridicule (1996) Neurônio: 8;5
